grid_size,num_robots,seed,time_taken,total_steps,coverage_pct,completeness,collisions,frozen_robots,overlap_area,robots_completed,avg_cells_per_robot,avg_path_per_robot,total_coverage,area_R1,area_R2,area_R3,area_R4,area_R5,area_R6,area_R7,area_R8,area_R9,area_R10,area_R11,area_R12,area_R13,area_R14,area_R15,area_R16,area_R17,area_R18,area_R19,area_R20,area_R21,area_R22,area_R23,area_R24,area_R25,area_R26,area_R27,area_R28,area_R29,area_R30,area_R31,area_R32,area_R33,area_R34,area_R35,area_R36,area_R37,area_R38,area_R39,area_R40
16,10,8,84,84,99.16,N,2,1,4,7,24.2,24.2,236,28,10,12,43,20,6,19,28,43,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,9,72,72,92.86,N,1,1,3,8,22.6,22.6,221,22,13,8,15,17,26,37,24,31,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,10,115,115,97.06,N,4,2,11,4,24.9,24.9,231,11,4,8,10,42,28,20,57,21,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,11,100,100,97.9,N,1,1,3,8,24.1,24.1,233,12,5,11,47,14,30,25,19,51,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,12,60,60,100.0,Y,1,1,8,8,24.6,24.6,238,32,37,10,7,33,34,40,7,15,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,13,88,88,98.32,N,0,2,7,8,24.5,24.5,234,31,14,18,34,22,19,10,28,24,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,14,76,76,78.99,N,2,0,5,8,19.7,19.7,188,25,13,41,14,11,9,11,23,11,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,15,64,64,99.58,N,0,0,3,10,24.1,24.1,237,24,26,14,33,27,22,28,28,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,16,84,84,100.0,Y,1,2,12,7,25.0,25.0,238,22,21,25,26,35,23,7,10,30,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,17,98,98,98.74,N,1,2,7,7,24.4,24.4,235,9,7,10,33,11,22,33,34,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,18,86,86,100.0,Y,2,0,8,8,24.6,24.6,238,69,40,28,6,21,19,12,14,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
