grid_size,num_robots,seed,time_taken,total_steps,coverage_pct,completeness,collisions,frozen_robots,overlap_area,robots_completed,avg_cells_per_robot,avg_path_per_robot,total_coverage,num_replans,area_R1,area_R2,area_R3,area_R4,area_R5,area_R6,area_R7,area_R8,area_R9,area_R10,area_R11,area_R12,area_R13,area_R14,area_R15,area_R16,area_R17,area_R18,area_R19,area_R20,area_R21,area_R22,area_R23,area_R24,area_R25,area_R26,area_R27,area_R28,area_R29,area_R30,area_R31,area_R32,area_R33,area_R34,area_R35,area_R36,area_R37,area_R38,area_R39,area_R40
16,10,20,93,93,98.32,N,2,0,12,8,24.6,24.6,234,4,11,27,45,11,25,12,25,39,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,21,121,121,98.32,N,1,0,12,9,25,25,234,3,21,11,3,9,60,25,42,25,19,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,22,99,99,99.58,N,1,0,19,9,25.7,25.7,237,3,26,26,30,13,49,33,11,30,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,23,91,91,99.58,N,0,0,6,10,24.4,24.4,237,2,14,36,10,34,25,5,25,45,18,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,24,95,95,96.64,N,3,0,7,7,24.3,24.3,230,2,8,23,41,32,25,26,24,9,8,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,25,119,119,96.64,N,2,0,2,8,24,24,230,0,35,32,10,30,17,18,9,23,7,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,1,45,45,100,Y,0,0,7,15,16.33,16.33,238,0,17,19,6,22,12,6,31,14,28,35,17,6,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,2,79,79,99.16,N,1,0,10,14,16.53,16.53,236,4,37,11,10,8,35,6,11,15,9,8,39,12,10,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,3,59,59,98.74,N,1,0,1,14,15.93,15.93,235,0,18,26,27,12,3,7,12,24,29,15,3,27,5,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,4,50,50,100,Y,1,0,6,14,16.27,16.27,238,3,12,13,11,28,30,9,11,12,22,31,10,24,11,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,5,44,44,100,Y,0,0,8,15,16.4,16.4,238,1,12,14,25,14,9,33,23,9,16,18,9,11,24,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,6,63,63,99.58,N,0,0,4,15,16.13,16.13,237,1,14,22,8,13,9,10,31,21,21,8,14,31,8,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,7,91,91,98.74,N,1,0,4,14,16.07,16.07,235,2,10,8,16,6,10,20,15,6,11,15,45,15,28,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,8,53,53,100,Y,0,0,9,15,16.47,16.47,238,2,11,6,41,24,15,8,16,25,6,6,23,17,16,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,9,71,71,99.58,N,3,0,7,12,16.33,16.33,237,0,6,18,8,12,35,10,12,29,33,27,14,9,12,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,10,46,46,100,Y,1,0,3,14,16.07,16.07,238,0,22,4,21,4,39,7,29,33,7,9,31,7,15,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,11,73,73,100,Y,2,0,23,13,17.4,17.4,238,4,5,5,15,27,6,24,23,10,37,31,10,4,11,10,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,12,117,117,99.58,N,4,0,9,11,16.47,16.47,237,1,10,6,6,5,8,12,19,7,14,58,12,5,24,28,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,13,40,40,100,Y,3,0,11,12,16.6,16.6,238,1,10,14,15,34,20,19,10,20,24,9,11,28,7,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,14,65,65,100,Y,1,0,4,14,16.13,16.13,238,0,23,13,44,17,7,10,8,30,10,9,7,6,24,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,15,45,45,100,Y,2,0,4,13,16.13,16.13,238,0,23,30,11,31,7,19,9,30,7,16,4,24,19,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,16,75,75,98.74,N,4,0,11,11,16.6,16.6,235,1,20,7,11,6,37,31,6,9,19,15,34,3,14,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
